src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.5.35.152,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,0.0,0,0,0,0,1,0,431,0,431.0,431.0,431.0,0.0,0.0,0.0,0.0,0.0,431,431,431.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,431.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,0.0,0,1,0,431,0
10.5.39.196,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,5196975.0,1491.2521226290294,2.5014551734422428,2.5014551734422428,0.0,13,0,7750,0,753.0,162.0,596.1538461538462,247.88174790965465,0.0,0.0,0.0,0.0,753,162,596.1538461538462,247.88174790965465,61445.360946745575,104,0,8,13,433081.25,1544305.0,18245.0,452473.7139730007,5196975.0,1544305.0,18245.0,433081.25,452473.7139730007,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,596.1538461538462,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3589.0,6.5,0.0,0.0,1965.1378306827608,0.0,596.1538461538462,0.0,0,13,0,7750,0
10.5.37.91,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,3142663.0,1602.7808263246807,5.09122358967538,5.09122358967538,0.0,16,0,5037,0,1480.0,131.0,314.8125,314.76841065098955,0.0,0.0,0.0,0.0,1480,131,314.8125,314.76841065098955,99079.15234375,128,0,8,16,209510.86666666667,648729.0,1176.0,210251.35534271566,3142663.0,648729.0,1176.0,209510.86666666667,210251.35534271566,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,314.8125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4333.0,16.0,0.0,0.0,1378.766988378964,0.0,314.8125,0.0,0,16,0,5037,0
10.5.37.43,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,0.0,0,0,0,0,1,0,138,0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,138,138,138.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,138.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0,1,0,138,0
10.5.45.99,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,6756845.0,222.73709105359083,0.8879884028714584,0.8879884028714584,0.0,6,0,1505,0,429.0,204.0,250.83333333333334,80.65650762475538,0.0,0.0,0.0,0.0,429,204,250.83333333333334,80.65650762475538,6505.472222222223,48,0,8,6,1351369.0,2797498.0,583736.0,942470.5205626327,6756845.0,2797498.0,583736.0,1351369.0,942470.5205626327,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,250.83333333333334,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.0,4.0,0.0,0.0,496.38384645785936,0.0,250.83333333333334,0.0,0,6,0,1505,0
10.5.46.82,239.255.255.250,58034,1900,2048,2022-05-18 12:26:42,3088398.0,283.6421989652888,1.29516985828899,1.29516985828899,0.0,4,0,876,0,219.0,219.0,219.0,0.0,0.0,0.0,0.0,0.0,219,219,219.0,0.0,0.0,32,0,8,4,1029466.0,1189649.0,926554.0,114788.85061131445,3088398.0,1189649.0,926554.0,1029466.0,114788.85061131445,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,219.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,0,4,0,876,0
10.5.33.184,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,0.0,0,0,0,0,1,0,138,0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,138,138,138.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,138.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0,1,0,138,0
10.5.41.37,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,7376180.0,745.5078373900855,2.0335729334153996,2.0335729334153996,0.0,15,0,5499,0,1462.0,131.0,366.6,323.3802302759607,0.0,0.0,0.0,0.0,1462,131,366.6,323.3802302759607,104574.77333333335,120,0,8,15,526870.0,3988572.0,6786.0,992825.956155818,7376180.0,3988572.0,6786.0,526870.0,992825.956155818,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,366.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4316.0,14.0,0.0,0.0,1274.055321631074,0.0,366.6,0.0,0,15,0,5499,0
10.5.38.38,10.5.47.255,137,137,2048,2022-05-18 12:26:42,8273422.999999999,136.34018229214198,1.4504274711929996,1.4504274711929996,0.0,12,0,1128,0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,94,94,94.0,0.0,0.0,96,0,8,12,752129.3636363636,912898.0,607521.0,131388.79981135292,8273423.0,912898.0,607521.0,752129.3636363636,131388.79981135292,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,94.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,12.0,0.0,0.0,72.52137355964997,0.0,94.0,0.0,0,12,0,1128,0
10.5.32.102,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,8880782.0,148.63555934601254,0.6756161788455116,0.6756161788455116,0.0,6,0,1320,0,220.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,220,220,220.0,0.0,0.0,48,0,8,6,1776156.4,2515661.0,1203507.0,553444.6902239103,8880782.0,2515661.0,1203507.0,1776156.4,553444.6902239103,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,220.0,0,0,0.0,0.0,0.0,0.0,2515661.0,125701.0,923781.3333333334,1125630.263926343,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0,6,0,1320,0
